ID,问题,答案
gysxdmx_00001,2024/8/19 下午A架的第一次开机时间（请以XX:XX输出）？,13:34，第一次开机时间为【13:34:00】
gysxdmx_00002,2024/8/20 A架的最后一次关机时间（请以XX:XX输出）？,18:36，两个关机时间为07:04:00和18:36:00
gysxdmx_00003,2024/8/23 10:17什么设备在进行什么动作？,A架正在进行【征服者入水】
gysxdmx_00004,2024/8/20深海作业A作业开始的时间（请以XX:XX输出）？,08:51，第一次【ON_DP】时间是08:51:07
gysxdmx_00005,2024/8/23 18:26什么设备在进行什么动作？,折臂吊车正在进行【小艇检查完毕】
gysxdmx_00006,2024/8/23 19:05什么设备在进行什么动作？,A架正在进行【征服者落座】，折臂吊车正在进行【折臂吊车关机】
gysxdmx_00007,2024/8/23 A架开机的时间点（请以XX:XX输出）？,08:03和17:58
gysxdmx_00008,2024/8/24 征服者入水时间点（请以XX:XX输出）？,08:51，【征服者入水】的时间点是08:51:00
gysxdmx_00009,2024/8/24 揽绳解除的时间点（请以XX:XX输出）？,08:52，【缆绳解除】的时间点是08:52:00
gysxdmx_00010,2024/8/24 A架摆回的时间点（请以XX:XX输出）？,08:58，【A架摆回】的时间点是08:58:00
gysxdmx_00011,2024/8/24 A架摆出的时间点（请以XX:XX输出）？,【A架摆出】的时间点是16:25
gysxdmx_00012,2024/8/24 8:45 ~ 8:55之间，发生了哪些关键动作？,A架进行了【征服者起吊】【征服者入水】【缆绳解除】
gysxdmx_00013,2024/8/24 16:00 ~ 16:30之间，发生了哪些关键动作？,A架进行了【A架开机】和【A架摆出】，折臂吊车进行了【折臂吊车开机】
gysxdmx_00014,2024/8/24 9:10什么设备在进行什么动作？,没有设备在进行关键动作
gysxdmx_00015,以征服者落座为标志，2024/8/23 的深海作业A作业结束的时间（请以XX:XX输出）？,19:05，【征服者落座】的时间为19:05:00
gysxdmx_00016,2024/8/24 18:00以后A架的第一次开启时间？A：19:00；B：20:00；C：无,A架的第一次开启时间为C：无
gysxdmx_00017,2024/8/24 16:00 ~ 16:30之间，A架发生了哪些关键动作？,A架发生了【A架开机】和【A架摆出】
gysxdmx_00018,2024/8/24 16:00 ~ 16:30之间，在A架开机之后，什么设备进行了什么关键动作？,【A架摆出】和【折臂吊车开机】，A架的开机时间是16:03:08，折臂吊车开机时间是16:04:28，A架摆出时间是16:25:08
gysxdmx_00019,2024/8/24 下午，A架开机发生在折臂吊车开机之前，是否正确？,【A架开机】发生在【折臂吊车开机】之前是正确的，A架的开机时间为16:03:08，折臂吊车的开机时间为16:04:28
gysxdmx_00020,2024/8/24 有什么关键动作是同时发生的？,08:58 【A架摆回】和【小艇落座】和17:20 【征服者出水】和【OFF DP】
gysxdmx_00021,统计2024/8/23上午A架的运行时长（以整数分钟输出）,147分钟，开机时间为08:03，关机时间为10:30
gysxdmx_00022,2024/8/23/上午A架的运行时长和下午A架开机时长相比，哪个长，长多少（以整数分钟输出）？,上午A架开机时长（A架运行时长）比下午长67分钟，上午开机时长8820.0秒，即147.0分钟；下午开机时长4800.0秒，即80.0分钟
gysxdmx_00023,2024/8/24A架摆回和摆出的时间相隔多久（以整数分钟输出）？,447分钟，A架摆回的时间08:58:00，A架摆出的时间16:25:00
gysxdmx_00024,2024/8/23 ~ 2024/8/25 早上A架在9点前开机的有几天？,3天，23号08:03，24号07:55，25号07:53
gysxdmx_00025,2024/8/23 ~ 2024/8/25 哪一天上午A架的运行时长最长，运行了多久（以整数分钟输出）？,2024/8/23上午A架的运行时长最长，运行了147分钟，8/23上午A架运行时长为8820.0秒，即147.0分钟；8/24上午A架运行时长为4440.0秒，即74.0分钟；8/25上午A架运行时长为3720.0秒，即62.0分钟
gysxdmx_00026,2024/8/23 和 2024/8/24 上午A架运行的平均时间多少（四舍五入至整数分钟输出）,111分钟（6630.0秒），8/23上午A架运行时长为8820.0秒，即147.0分钟；8/24上午A架运行时长为4440.0秒，即74.0分钟
gysxdmx_00027,2024/8/23 和 2024/8/24 征服者从起吊到入水平均需要多久（以分钟输出，保留一位小数）？,3.5分钟，23日【征服者起吊】的时间点是10:12:08，23日【征服者入水】的时间点是10:17:08；24日【征服者起吊】的时间点是08:49:08；24日【征服者入水】的时间点是08:51:08
gysxdmx_00028,2024/8/23 DP过程中，侧推的总能耗是多少（单位化成kWh，保留2位小数）？,169.17kWh，8/23第一次ON_DP的时间为08:53:06；8/23第一次OFF_DP的时间为10:32:06
gysxdmx_00029,2024/8/23 上午折臂吊车的总能耗是多少（单位化成kWh，保留2位小数）？,13.51kWh
gysxdmx_00030,2024/8/23 和 2024/8/24 的DP过程中，侧推的平均能耗是多少（单位化成kWh，保留2位小数）？,147.37kWh，8/23第一次ON_DP的时间为08:53:06；8/23第一次OFF_DP的时间为10:32:06；8/24第一次ON_DP时间为07:41:06；8/24第一次OFF_DP时间为09:01:05；8/23的能耗为169.17kWh；8/24的能耗为125.56kWh
gysxdmx_00031,2024/8/24 DP过程中，推进系统的总能耗是多少（单位化成kWh，保留2位小数）？,282.06kWh，282.0648055555556kWh，8/24第一次ON_DP时间为07:41:06；8/24第一次OFF_DP时间为09:01:05
gysxdmx_00032,2024/8/24 上午，甲板机械设备的总能耗是多少（单位化成kWh，保留2位小数）？,45.36kWh，45.358333333333334kWh
gysxdmx_00033,2024/8/24 上午，折臂吊车的能耗占甲板机械设备的比例（以%输出，保留2位小数）？,23.14%，折臂吊车的总能耗为10.497222222222222kWh，甲板机械设备的总能耗为45.358333333333334kWh，(10.497222222222222 / 45.358333333333334) * 100 = 23.142874640210667%
gysxdmx_00034,2024/8/23 0:00 ~ 2024/8/25 0:00四个发电机中哪个的能耗最大，能耗为多少（单位化成kWh，保留2位小数）？,二号柴油发电机，19192.54kWh，一号柴油发电机的实际发电量为8768.42Kwh；二号柴油发电机的实际发电量为19192.54Kwh；三号柴油发电机的实际发电量为12305.25Kwh；四号柴油发电机的实际发电量为11320.86Kwh
gysxdmx_00035,2024/8/23和2024/8/25小艇入水到小艇落座，折臂吊车的总能耗是多少（单位化成kWh，保留2位小数）？,8.22kWh，8.216944444444445kWh，8月23日【小艇入水】的时间是18:42:53，8月23日【小艇落座】的时间是19:04:59，总能耗为4.3025kWh；8月25日【小艇入水】的时间是08:32:29，8月25日【小艇落座】的时间是08:49:37，总能耗为3.914444444444445kWh
gysxdmx_00036,2024/8/23 A架和折臂吊车的运行时间分别是多少（以整数分钟输出）？,A架运行时长13620.0秒，即227分钟；折臂吊车运行时长21217.0秒，即353.61666667分钟，354分钟
gysxdmx_00037,2024/8/23 A架比折臂吊车的运行时间少多少（以整数分钟输出）？,127分钟，A架运行时长13620.0秒，折臂吊车运行时长21217.0秒，相差126.61666667分钟
gysxdmx_00038,2024/8/23 A架的摆动次数是多少次（任意摆出或摆回算一次）？,4次，A架摆出18:16:08，A架摆回10:20:08
gysxdmx_00039,2024/8/23、 2024/8/24和2024/8/25 A架的平均摆动次数是多少次？,1.7次，8/23的A架摆出次数为1次，摆回次数为1次，摆动次数为2次；8/24的A架摆出次数为1次，摆回次数为1次，摆动次数为2次；8/25的A架摆出次数为1次，摆回次数为0次，摆动次数为1次；平均为5/3=1.666次
gysxdmx_00040,2024/8/23和2024/8/25 平均作业时长是多久（四舍五入至整数分钟输出，下放阶段以ON DP和OFF DP为标志，回收阶段以A架开机和关机为标志）？,206分钟，8月23日的作业时长为19380.0秒；8月25日的作业时长为5340.0秒；共计24720.0秒
gysxdmx_00041,2024/8/23 上午A架的运行时间相对较长，猜测可能是什么原因导致,
gysxdmx_00042,数据中有部分时间A架的角度数据出现了异常，请指出开始时间和结束时间（精确到天）,
gysxdmx_00043,一号柴油发电机组滑油压力的范围是多少？,上限800.0kPa和下限未设定
gysxdmx_00044,某个时刻一号柴油发电机组滑油压力大约为300kPa，这个数值是正常的吗？,正常
gysxdmx_00045,某个时刻一号柴油发电机组滑油压力大约为200kPa，会触发什么机制,报警机制
gysxdmx_00046,某个时刻一号柴油发电机组滑油压力大约为170kPa，会触发什么机制,安全保护机制Alarm state
gysxdmx_00047,某个时刻一号柴油发电机组滑油压力大为170kPa会导致柴油发电机停机吗？,不会导致
gysxdmx_00048,2024/8/23 0:00 ~ 2024/8/25 0:00发电机组的燃油消耗量为多少（单位化成L，保留2位小数）？,16806.88L，16806.87611111111L
gysxdmx_00049,2024/8/23 0:00 ~ 2024/8/25 0:00总发电量是多少（单位化为kWh，保留2位小数）？,51587.06kWh，51587.063055555554kWh
gysxdmx_00050,2024/8/23 0:00 ~ 2024/8/25 0:00推进系统能耗占总发电量的比例（以%输出，保留2位小数）？,48.69%，48.686300371808877%，推进系统的总能耗为25115.84kWh，实际发电量为51587.07kWh
gysxdmx_00051,2024/8/23 0:00 ~ 2024/8/25 0:00甲板机械能耗占总发电量的比例（以%输出，保留2位小数）？,0.19%，0.18561770442155484%，甲板机械设备的总能耗为95.76kWh，实际发电量为51587.07kWh
gysxdmx_00052,2024/8/23和2024/8/25 平均作业能耗是多久（单位化成kWh，保留2位小数，下放阶段以ON DP和OFF DP为标志，回收阶段以A架开机和关机为标志）？,10138.68kWh，10138.675527777777kWh，8/23全船总能耗为17466.08kWh；8/25全船总能耗为2811.25kWh
gysxdmx_00053,假设柴油的密度为0.8448kg/L，柴油热值为42.6MJ/kg，请计算2024/8/23 0:00 ~ 2024/8/25 0:00的理论发电量（单位化成kWh，保留2位小数）？,168014.98kWh，168014.97910755553kWh
gysxdmx_00054,假设柴油的密度为0.8448kg/L，柴油热值为42.6MJ/kg，请计算2024/8/23 0:00 ~ 2024/8/25 0:00柴油机的发电效率（%，保留2位小数）？,30.70%，30.703847555480074%，实际发电量为51587.07kWh
gysxdmx_00055,"列出2024/8/24~8/27的A架摆出的时间点（以json格式输出，同一天有多次则用下划线加数字表示如{""20240824_1"": ""00:00""}）","{\"20240824\": \"16:25\", \"20240825\": \"16:21\",\"20240826\": \"14:52\",\"20240826\": \"15:07\", \"20240827\": \"16:29\"}"
gysxdmx_00056,"列出2024/8/24~8/25的小艇检查的时间点（以json格式输出，同一天有多次则用下划线加数字表示如{""20240824_1"": ""00:00""}）","{\"20240824_1\": \"08:23\",\"20240824_2\": \"16:38\",\"20240825_1\": \"08:20\",\"20240825_2\": \"16:38\"}"
gysxdmx_00057,统计2024/8/24-8/30征服者在16:00前出水的比例（%，保留2位小数）,"14.29%"
gysxdmx_00058,统计2024/8/24-8/30在9点前开始作业的比例（%，保留2位小数）,"100.00%"
gysxdmx_00059,统计2024/8/24-8/30征服者在9点前入水的比例（%，保留2位小数）,"100.00%"
gysxdmx_00060,24年5月19日A架的开机时间分别是几点，关机时间分别是几点？（请以XX:XX输出）？,【开机时间】分别是07:30和15:41和【关机时间】分别是15:39和17:24
gysxdmx_00061,2024年5月20日征服者入水的时间是？（请以XX:XX输出）,07:18，【征服者入水】的时间是07:18:50
gysxdmx_00062,2024年5月20日征服者入水后A架摆回到位的时间是？（请以XX:XX输出）,07:27，【征服者入水】的时间是07:18:50，【A架摆回】的时间是07:23:50，无电流为07:27:50
gysxdmx_00063,2024年5月20日7点23分发生了什么动作？,【A架摆回】
gysxdmx_00064,24年8月19日12至13点A架是否开始运行？Y：是；N：否。请回答Y或N,N：否
gysxdmx_00065,24年8月23日上午折臂吊开机和关机的时间分别是几点？（请用XX:XX表示）,【折臂吊车开机】的时间分别是08:16和09:30和【折臂吊车关机】的时间分别是08:33和10:24
gysxdmx_00066,24年8月27日下午17点16分发生了什么？,【折臂吊车关机】
gysxdmx_00067,控制A架左舷的字段名称是？,Ajia-1_v
gysxdmx_00068,一号柴油发电机组有功功率测量的范围是多少kW到多少kW？,整数：-250kW ~ 2000kW，1位小数：-250.0kW ~ 2000.0kW，2位小数：-250.00kW ~ 2000.00kW
gysxdmx_00069,一号柴油发电机组滑油压力低于多少kPa会停车？,整数：180kPa，1位小数：180.0kPa，2位小数：180.00kPa，安全保护设定值【低于 180kPa 触发 Alarm state】
gysxdmx_00070,二零二四年五月十九日A架的开机时长是多久？（请以XX小时XX分钟输出时长）,09小时52分钟，35520秒
gysxdmx_00071,2024年5月19日A架的实际运行时长是多久？效率是多少？（请以XX:XX输出时长，XX.XX%输出效率）？,实际运行时长为01:03，效率为10.64%
gysxdmx_00072,5月20日征服者入水A架外摆的最大角度范围分别是多少度，持续了多久？（请以XX:XX输出）？,右舷-43.5648°，左舷-43.9897°，持续时间00:04分钟
gysxdmx_00073,24年8月23日上午折臂吊开机时长为多久？（请用XX分钟表示）,整数：71分钟，1位小数：71.4分钟，2位小数：71.40分钟，4284.0秒
gysxdmx_00074,24年8月23日征服者入水时间距离征服者出水时间是多久？（请用XX小时XX分钟表示）,08小时45分钟，2024年8月23日【征服者入水】的时间是10:17:08，【征服者出水】的时间是19:02:08
gysxdmx_00075,5月20日征服者入水到A架摆回用了多少时间？,整数：5分钟，1位小数：5.0分钟，2位小数：5.00分钟，00:05，300秒，【征服者入水】的时间是07:18:00，【A架摆回】的时间是07:23:00
gysxdmx_00076,停泊发电机组转速为1800RPM会发生什么？,报警机制，设备参数上限为2000.0RPM，因此预警值对应的转速为2000.0RPM的75%，即1500.0RPM，触发预警
gysxdmx_00077,停泊/应急发电机组转速高于多少RPM时会发生预警？,整数：1500RPM，1位小数：1500.0RPM，2位小数：1500.00RPM，设备参数上限为2000.0RPM，因此预警值对应的转速为2000.0RPM的75%，即1500.0RPM，触发预警
gysxdmx_00078,8月23日A架的数据是否正常，从下列选项中选出正确答案？A:正常；B:异常。,A:正常；B:异常
gysxdmx_00079,8月24日征服者落座几分钟后A架关机的？,4分钟，整数：18分钟，1位小数：18.0分钟，2位小数：18.00分钟，00:18，1080秒，【征服者落座】时间为17:23:00；【A架关机】的时间为09:09和17:41
gysxdmx_00080,8月15日早上，A架的开机时间是几点（请以XX:XX输出）？,07:58，07:58:00
gysxdmx_00081,在2024年8月15日8时03分，绞车B张力是多少，保留2位小数？,0.28kN，0.275216kN
gysxdmx_00082,在2024年8月28日，A架的关机时间是几点（请以XX:XX输出）,09:03，09:03:00
gysxdmx_00083,在2024年8月17日11时32分，绞车变频器的频率是多少？,6007Hz
gysxdmx_00084,在2024年9月8日4时29分，一号柴油发电机组的转速是多少？,1797RPM
gysxdmx_00085,在2024年8月27日21时09分，二号柴油发电机组燃油消耗率是多少？,135L/h，135.0L/h，135.00L/h
gysxdmx_00086,在2024年8月27日21时09分，一号柴油发电机组转速是多少？,0RPM
gysxdmx_00087,在2024年9月3日7时28分艏推主开关电流是多少？,317A
gysxdmx_00088,在2024年9月7日23时38分，绞车变频器-Uc电压的值是多少？,表中数值为6972V，实际值为697.2V
gysxdmx_00089,在2024年9月1日6时29分，折臂吊车液压的频率是多少？,表中数值为5997Hz，实际数值为59.97Hz
gysxdmx_00090,在2024年8月15日15时30分，二号舵桨方位反馈是多少？,-88.00%，-88%
gysxdmx_00091,在2024年9月1日6时29分， 折臂吊车液压-Uc电压是多少？,表中数值为6958V，实际数值为695.8V
gysxdmx_00092,在2024年8月15日8时52分， 二号舵桨转速反馈是多少？,57.0RPM、57RPM、57.00RPM
gysxdmx_00093,在2024年9月3日，折臂吊车最后一次开机是什么时候（请以XX:XX输出）？,21:57，折臂吊车开机的所有时间点【06:27:03】、【14:34:29】和【21:57:10】
gysxdmx_00094,在2024年9月7日，ON DP是什么时候（请以XX:XX输出）？,【ON_DP】的时间为15:23和20:57
gysxdmx_00095,在2024年8月24日，A架第二次开机是什么时候（请以XX:XX输出）？,16:03，A架的开机时间分别是07:55和16:03
gysxdmx_00096,在2024年8月30日，A架一共开机多少次？,3次，【A架开机】的时间点为15:00和21:53
gysxdmx_00097,在2024年8月23日，征服者第一次出水是什么时候（请以XX:XX输出）？,19:02，【征服者出水】的时间是19:02:00
gysxdmx_00098,在2024年8月23日，A架最后一次关机是什么时候（请以XX:XX输出）？,19:18，【A架关机】的时间点为10:30:00和19:18:00
gysxdmx_00099,在2024年8月24日，小艇最后一次落座是什么时候（请以XX:XX输出）？,17:23，【小艇落座】的时间点是17:23:44
gysxdmx_00100,在2024年8月24日，折臂吊车关机是什么时候（请以XX:XX输出）？,09:00、17:24和22:31，折臂吊车关机的时间分别为09:00:17、17:24:44和22:31:14
